round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,596.8,1.34,0,0,0.02
1,7.6,1.38,0,0,0.02
2,201.5,1.38,0,0,0.02
3,237.6,1.38,0,0,0.02
4,270.1,1.38,0,0,0.02
5,264.4,1.38,0,0,0.02
6,205.0,1.38,0,0,0.02
7,218.5,1.38,0,0,0.02
8,204.1,1.38,0,0,0.02
9,208.1,1.38,0,0,0.02
10,212.4,1.38,0,0,0.02
11,212.7,1.39,0,0,0.02
12,208.4,1.39,0,0,0.02
13,234.8,1.39,0,0,0.02
14,233.0,1.39,0,0,0.02
15,254.2,1.39,0,0,0.02
16,242.0,1.39,0,0,0.02
17,361.1,1.39,0,0,0.02
18,253.5,1.39,0,0,0.02
19,244.4,1.39,0,0,0.02
20,220.4,1.39,0,0,0.02
21,221.4,1.39,0,0,0.02
22,280.0,1.39,0,0,0.02
23,263.2,1.39,0,0,0.02
24,246.8,1.39,0,0,0.02
25,321.7,1.39,0,0,0.02
26,255.1,1.39,0,0,0.02
27,248.8,1.39,0,0,0.02
28,247.4,1.39,0,0,0.02
29,241.0,1.39,0,0,0.02
30,247.7,1.39,0,0,0.02
31,255.0,1.39,0,0,0.02
32,230.7,1.39,0,0,0.02
33,241.4,1.39,0,0,0.02
34,248.9,1.39,0,0,0.02
35,250.7,1.39,0,0,0.02
36,254.7,1.39,0,0,0.02
37,246.0,1.39,0,0,0.02
38,257.9,1.39,0,0,0.02
39,241.6,1.39,0,0,0.02
40,260.9,1.39,0,0,0.02
41,247.3,1.39,0,0,0.02
42,259.5,1.39,0,0,0.02
43,247.3,1.39,0,0,0.02
44,250.0,1.39,0,0,0.02
45,253.0,1.39,0,0,0.02
46,288.5,1.39,0,0,0.02
47,264.1,1.39,0,0,0.02
48,268.8,1.39,0,0,0.02
49,282.5,1.39,0,0,0.02
50,255.5,1.39,0,0,0.02
51,260.4,1.39,0,0,0.02
52,262.9,1.39,0,0,0.02
53,250.2,1.39,0,0,0.02
54,265.4,1.39,0,0,0.02
55,246.5,1.39,0,0,0.02
56,259.0,1.39,0,0,0.02
57,249.5,1.39,0,0,0.02
58,264.7,1.39,0,0,0.02
59,263.8,1.39,0,0,0.02
60,258.9,1.39,0,0,0.02
61,235.4,1.39,0,0,0.02
62,267.5,1.39,0,0,0.02
63,264.1,1.39,0,0,0.02
64,248.7,1.39,0,0,0.02
65,248.9,1.39,0,0,0.02
66,247.8,1.39,0,0,0.02
67,256.4,1.39,0,0,0.02
68,251.9,1.39,0,0,0.02
69,241.6,1.39,0,0,0.02
70,243.0,1.39,0,0,0.02
71,264.7,1.39,0,0,0.02
72,265.4,1.39,0,0,0.02
73,262.0,1.39,0,0,0.02
74,285.8,1.39,0,0,0.02
75,273.9,1.39,0,0,0.02
76,247.5,1.39,0,0,0.02
77,267.0,1.39,0,0,0.02
78,254.9,1.39,0,0,0.02
79,254.2,1.39,0,0,0.02
80,222.7,1.39,0,0,0.02
81,238.7,1.39,0,0,0.02
82,232.7,1.39,0,0,0.02
83,244.9,1.39,0,0,0.02
84,236.4,1.39,0,0,0.02
85,243.0,1.39,0,0,0.02
86,225.8,1.39,0,0,0.02
87,300.7,1.39,0,0,0.02
88,313.2,1.39,0,0,0.02
89,263.2,1.39,0,0,0.02
90,251.9,1.39,0,0,0.02
91,229.6,1.39,0,0,0.02
92,225.6,1.39,0,0,0.02
93,220.5,1.39,0,0,0.02
94,232.5,1.39,0,0,0.02
95,213.8,1.39,0,0,0.02
96,218.7,1.39,0,0,0.02
97,212.4,1.39,0,0,0.02
98,220.6,1.39,0,0,0.02
99,220.7,1.39,0,0,0.02
100,216.9,1.39,0,0,0.02
101,215.6,1.39,0,0,0.02
102,219.0,1.39,0,0,0.02
103,221.0,1.39,0,0,0.02
104,227.5,1.39,0,0,0.02
105,222.5,1.39,0,0,0.02
106,235.8,1.39,0,0,0.02
107,228.6,1.39,0,0,0.02
108,219.6,1.39,0,0,0.02
109,220.1,1.39,0,0,0.02
110,234.0,1.39,0,0,0.02
111,244.5,1.39,0,0,0.02
112,255.6,1.39,0,0,0.02
113,271.7,1.39,0,0,0.02
114,238.5,1.39,0,0,0.02
115,271.8,1.39,0,0,0.02
116,261.8,1.39,0,0,0.02
117,279.1,1.39,0,0,0.02
118,295.6,1.39,0,0,0.02
119,305.9,1.39,0,0,0.02
120,295.1,1.39,0,0,0.02
121,285.4,1.39,0,0,0.02
122,280.8,1.39,0,0,0.02
123,276.6,1.39,0,0,0.02
124,272.6,1.39,0,0,0.02
125,252.8,1.39,0,0,0.02
126,239.2,1.39,0,0,0.02
127,248.3,1.39,0,0,0.02
128,222.9,1.39,0,0,0.02
129,227.9,1.39,0,0,0.02
130,249.4,1.39,0,0,0.02
131,231.0,1.39,0,0,0.02
132,269.7,1.39,0,0,0.02
133,212.7,1.39,0,0,0.02
134,249.4,1.39,0,0,0.02
135,229.1,1.39,0,0,0.02
136,214.9,1.39,0,0,0.02
137,237.0,1.39,0,0,0.02
138,240.6,1.39,0,0,0.02
139,235.1,1.39,0,0,0.02
140,227.7,1.39,0,0,0.02
141,213.1,1.39,0,0,0.02
142,204.6,1.39,0,0,0.02
143,221.2,1.39,0,0,0.02
144,202.5,1.39,0,0,0.02
145,222.7,1.39,0,0,0.02
146,212.9,1.39,0,0,0.02
147,215.0,1.39,0,0,0.02
148,212.1,1.39,0,0,0.02
149,209.1,1.39,0,0,0.02
150,230.3,1.39,0,0,0.02
151,244.9,1.39,0,0,0.02
152,235.7,1.39,0,0,0.02
153,238.7,1.39,0,0,0.02
154,233.5,1.39,0,0,0.02
155,244.2,1.39,0,0,0.02
156,249.6,1.39,0,0,0.02
157,257.7,1.39,0,0,0.02
158,265.3,1.39,0,0,0.02
159,246.0,1.39,0,0,0.02
160,290.8,1.39,0,0,0.02
161,272.9,1.39,0,0,0.02
162,253.6,1.39,0,0,0.02
163,285.7,1.39,0,0,0.02
164,280.4,1.39,0,0,0.02
165,264.2,1.39,0,0,0.02
166,275.2,1.39,0,0,0.02
167,244.6,1.39,0,0,0.02
168,237.2,1.39,0,0,0.02
169,237.1,1.39,0,0,0.02
170,251.8,1.39,0,0,0.02
171,200.2,1.39,0,0,0.02
172,223.9,1.39,0,0,0.02
173,247.8,1.39,0,0,0.02
174,243.1,1.39,0,0,0.02
175,197.8,1.39,0,0,0.02
176,224.5,1.39,0,0,0.02
177,216.4,1.39,0,0,0.02
178,236.4,1.39,0,0,0.02
179,207.5,1.39,0,0,0.02
180,220.2,1.39,0,0,0.02
181,232.3,1.39,0,0,0.02
182,252.9,1.39,0,0,0.02
183,226.9,1.39,0,0,0.02
184,221.8,1.39,0,0,0.02
185,206.3,1.39,0,0,0.02
186,208.6,1.39,0,0,0.02
187,210.1,1.39,0,0,0.02
188,226.0,1.39,0,0,0.02
189,222.4,1.39,0,0,0.02
190,225.0,1.39,0,0,0.02
191,223.5,1.39,0,0,0.02
192,235.9,1.39,0,0,0.02
193,235.1,1.39,0,0,0.02
194,256.7,1.39,0,0,0.02
195,264.8,1.39,0,0,0.02
196,267.4,1.39,0,0,0.02
197,282.5,1.39,0,0,0.02
198,273.3,1.39,0,0,0.02
199,256.5,1.39,0,0,0.02
200,255.6,1.39,0,0,0.02
201,211.1,1.39,0,0,0.02
202,229.2,1.39,0,0,0.02
203,207.9,1.39,0,0,0.02
204,201.8,1.39,0,0,0.02
205,216.7,1.39,0,0,0.02
206,220.0,1.39,0,0,0.02
207,219.0,1.39,0,0,0.02
208,212.9,1.39,0,0,0.02
209,216.3,1.39,0,0,0.02
210,222.6,1.39,0,0,0.02
211,241.0,1.39,0,0,0.02
212,241.1,1.39,0,0,0.02
213,268.2,1.39,0,0,0.02
214,265.6,1.39,0,0,0.02
215,270.4,1.39,0,0,0.02
216,259.7,1.39,0,0,0.02
217,230.9,1.39,0,0,0.02
218,220.9,1.39,0,0,0.02
219,219.4,1.39,0,0,0.02
220,209.8,1.39,0,0,0.02
221,235.6,1.39,0,0,0.02
222,252.4,1.39,0,0,0.02
223,217.7,1.39,0,0,0.02
224,196.4,1.39,0,0,0.02
225,216.8,1.39,0,0,0.02
226,203.4,1.39,0,0,0.02
227,211.1,1.39,0,0,0.02
228,211.0,1.39,0,0,0.02
229,229.5,1.39,0,0,0.02
230,219.3,1.39,0,0,0.02
231,214.7,1.39,0,0,0.02
232,219.5,1.39,0,0,0.02
233,244.3,1.39,0,0,0.02
234,268.7,1.39,0,0,0.02
235,275.5,1.39,0,0,0.02
236,270.4,1.39,0,0,0.02
237,265.9,1.39,0,0,0.02
238,266.7,1.39,0,0,0.02
239,247.3,1.39,0,0,0.02
240,270.6,1.39,0,0,0.02
241,283.1,1.39,0,0,0.02
242,240.3,1.39,0,0,0.02
243,224.1,1.39,0,0,0.02
244,206.4,1.39,0,0,0.02
245,222.5,1.39,0,0,0.02
246,220.4,1.39,0,0,0.02
247,221.6,1.39,0,0,0.02
248,211.8,1.39,0,0,0.02
249,243.9,1.39,0,0,0.02
250,268.4,1.39,0,0,0.02
251,284.2,1.39,0,0,0.02
252,281.3,1.39,0,0,0.02
253,269.0,1.39,0,0,0.02
254,254.6,1.39,0,0,0.02
255,240.4,1.39,0,0,0.02
256,228.1,1.39,0,0,0.02
257,211.0,1.39,0,0,0.02
258,215.7,1.39,0,0,0.02
259,213.5,1.39,0,0,0.02
260,216.9,1.39,0,0,0.02
261,200.1,1.39,0,0,0.02
262,210.1,1.39,0,0,0.02
263,198.1,1.39,0,0,0.02
264,206.4,1.39,0,0,0.02
265,202.3,1.39,0,0,0.02
266,216.0,1.39,0,0,0.02
267,215.9,1.39,0,0,0.02
268,218.6,1.39,0,0,0.02
269,210.2,1.39,0,0,0.02
270,213.7,1.39,0,0,0.02
271,212.2,1.39,0,0,0.02
272,219.1,1.39,0,0,0.02
273,207.8,1.39,0,0,0.02
274,209.1,1.39,0,0,0.02
275,222.5,1.39,0,0,0.02
276,234.6,1.39,0,0,0.02
277,218.2,1.39,0,0,0.02
278,234.4,1.39,0,0,0.02
279,258.0,1.39,0,0,0.02
280,281.3,1.39,0,0,0.02
281,256.9,1.39,0,0,0.02
282,218.7,1.39,0,0,0.02
283,203.6,1.39,0,0,0.02
284,199.2,1.39,0,0,0.02
285,208.3,1.39,0,0,0.02
286,214.1,1.39,0,0,0.02
287,210.6,1.39,0,0,0.02
288,223.9,1.39,0,0,0.02
289,217.4,1.39,0,0,0.02
290,227.5,1.39,0,0,0.02
291,223.6,1.39,0,0,0.02
292,224.1,1.39,0,0,0.02
293,233.0,1.39,0,0,0.02
294,244.3,1.39,0,0,0.02
295,260.5,1.39,0,0,0.02
296,269.4,1.39,0,0,0.02
297,293.0,1.39,0,0,0.02
298,287.0,1.39,0,0,0.02
299,284.2,1.39,0,0,0.02
300,268.6,1.39,0,0,0.02
301,231.4,1.39,0,0,0.02
302,211.6,1.39,0,0,0.02
303,253.8,1.39,0,0,0.02
304,227.5,1.39,0,0,0.02
305,241.9,1.39,0,0,0.02
306,253.8,1.39,0,0,0.02
307,187.8,1.39,0,0,0.02
308,193.9,1.39,0,0,0.02
309,211.3,1.39,0,0,0.02
310,207.8,1.39,0,0,0.02
311,202.5,1.39,0,0,0.02
312,216.8,1.39,0,0,0.02
313,212.1,1.39,0,0,0.02
314,209.1,1.39,0,0,0.02
315,216.8,1.39,0,0,0.02
316,233.5,1.39,0,0,0.02
317,224.9,1.39,0,0,0.02
318,249.2,1.39,0,0,0.02
319,259.3,1.40,0,0,0.02
320,274.6,1.40,0,0,0.02
321,281.0,1.40,0,0,0.02
322,304.5,1.40,0,0,0.02
323,263.7,1.40,0,0,0.02
324,295.0,1.40,0,0,0.02
325,275.8,1.40,0,0,0.02
326,278.5,1.40,0,0,0.02
327,269.9,1.40,0,0,0.02
328,253.4,1.40,0,0,0.02
329,196.2,1.40,0,0,0.02
330,216.0,1.40,0,0,0.02
331,219.9,1.40,0,0,0.02
332,213.2,1.40,0,0,0.02
333,211.5,1.40,0,0,0.02
334,223.2,1.40,0,0,0.02
335,237.7,1.40,0,0,0.02
336,249.7,1.40,0,0,0.02
337,262.7,1.40,0,0,0.02
338,261.7,1.40,0,0,0.02
339,241.2,1.40,0,0,0.02
340,238.2,1.40,0,0,0.02
341,243.7,1.40,0,0,0.02
342,277.4,1.40,0,0,0.02
343,286.2,1.40,0,0,0.02
344,303.9,1.40,0,0,0.02
345,256.2,1.40,0,0,0.02
346,279.3,1.41,0,0,0.02
347,234.8,1.41,0,0,0.02
348,233.7,1.41,0,0,0.02
349,207.7,1.41,0,0,0.02
350,212.7,1.41,0,0,0.02
351,203.0,1.41,0,0,0.02
352,197.4,1.41,0,0,0.02
353,221.6,1.41,0,0,0.02
354,215.3,1.41,0,0,0.02
355,217.6,1.41,0,0,0.02
356,206.1,1.41,0,0,0.02
357,214.6,1.41,0,0,0.02
358,233.4,1.41,0,0,0.02
359,261.7,1.41,0,0,0.02
360,268.4,1.41,0,0,0.02
361,273.6,1.41,0,0,0.02
362,260.3,1.41,0,0,0.02
363,245.0,1.41,0,0,0.02
364,252.1,1.41,0,0,0.02
365,280.4,1.41,0,0,0.02
366,266.1,1.41,0,0,0.02
367,231.0,1.41,0,0,0.02
368,276.1,1.41,0,0,0.02
369,246.7,1.41,0,0,0.02
370,241.6,1.42,0,0,0.02
371,239.9,1.42,0,0,0.02
372,221.2,1.42,0,0,0.02
373,206.1,1.42,0,0,0.02
374,190.4,1.42,0,0,0.02
375,203.2,1.42,0,0,0.02
376,228.6,1.42,0,0,0.02
377,207.2,1.42,0,0,0.02
378,217.4,1.42,0,0,0.02
379,203.5,1.42,0,0,0.02
380,222.3,1.42,0,0,0.02
381,237.0,1.42,0,0,0.02
382,240.0,1.42,0,0,0.02
383,226.9,1.42,0,0,0.02
384,234.6,1.42,0,0,0.02
385,215.0,1.42,0,0,0.02
386,223.8,1.42,0,0,0.02
387,231.0,1.42,0,0,0.02
388,247.5,1.42,0,0,0.02
389,248.8,1.42,0,0,0.02
390,243.5,1.42,0,0,0.02
391,251.3,1.42,0,0,0.02
392,243.4,1.42,0,0,0.02
393,236.7,1.42,0,0,0.02
394,246.9,1.42,0,0,0.02
395,233.5,1.42,0,0,0.02
396,222.1,1.42,0,0,0.02
397,216.8,1.42,0,0,0.02
398,210.0,1.42,0,0,0.02
399,234.4,1.42,0,0,0.02
400,254.3,1.42,0,0,0.02
401,251.4,1.42,0,0,0.02
402,268.0,1.42,0,0,0.02
403,272.5,1.42,0,0,0.02
404,278.2,1.42,0,0,0.02
405,265.1,1.42,0,0,0.02
406,291.2,1.42,0,0,0.02
407,278.6,1.42,0,0,0.02
408,269.0,1.42,0,0,0.02
409,240.6,1.42,0,0,0.02
410,273.3,1.42,0,0,0.02
411,274.0,1.42,0,0,0.02
412,221.8,1.42,0,0,0.02
